date,summary,precipIntensity,precipProbability,temperature,humidity,windSpeed,visibility
2017/1/13 6:00,Partly Cloudy,0,0,14.53,0.75,2.13,10.003
2017/1/13 7:00,Partly Cloudy,0,0,14.52,0.75,1.1,10.003
2017/1/13 8:00,Partly Cloudy,0.0071,0.08,14.63,0.76,1.76,12.346
2017/1/13 9:00,Partly Cloudy,0.0136,0.08,14.84,0.76,0.9,12.346
2017/1/13 10:00,Partly Cloudy,0.0317,0.08,14.8,0.77,0.6,10.003
2017/1/13 11:00,Partly Cloudy,0.0107,0.08,16.14,0.76,1.82,10.003
2017/1/13 12:00,Partly Cloudy,0,0,16.23,0.72,1.73,8.005
2017/1/13 13:00,Partly Cloudy,0.0214,0.08,15.9,0.78,0.6,8.998
2017/1/13 14:00,Partly Cloudy,0,0,15.27,0.81,1.23,12.346
2017/1/13 15:00,Partly Cloudy,0,0,15.93,0.79,0.65,12.346
2017/1/13 16:00,Partly Cloudy,0,0,15.36,0.81,0.66,6.004
2017/1/13 17:00,Light Rain,0.7005,0.81,15.08,0.83,1.38,10.003
2017/1/13 18:00,Partly Cloudy,0.0107,0.08,14.93,0.82,0.9,10.003
2017/1/13 19:00,Partly Cloudy,0.0214,0.08,14.89,0.83,0.73,10.003
2017/1/13 20:00,Partly Cloudy,0.0107,0.08,14.68,0.89,1.42,4.438
2017/1/13 21:00,Partly Cloudy,0,0,14.83,0.89,1.12,4.438
2017/1/13 22:00,Partly Cloudy,0,0,14.72,0.81,0.77,8.998
2017/1/13 23:00,Partly Cloudy,0.0214,0.08,14.59,0.84,1.59,10.003
2017/1/14 0:00,Partly Cloudy,0,0,15.85,0.77,1.31,10.003
2017/1/14 1:00,Partly Cloudy,0,0,15.87,0.77,2.45,10.003
2017/1/14 2:00,Partly Cloudy,0.0071,0.08,16.26,0.87,2.38,10.003
2017/1/14 3:00,Partly Cloudy,0.0284,0.08,16.62,0.86,2,10.003
2017/1/14 4:00,Partly Cloudy,0.0284,0.08,16.65,0.86,3.22,9.881
2017/1/14 5:00,Partly Cloudy,0.0526,0.16,16.17,0.87,3.2,9.801
2017/1/14 6:00,Light Rain,0.8217,0.97,14.42,0.88,1.77,4.246
2017/1/14 7:00,Partly Cloudy,0.0934,0.16,14.45,0.89,2.1,4.246
2017/1/14 8:00,Partly Cloudy,0,0,14.18,0.9,2.47,4.228
2017/1/14 9:00,Partly Cloudy,0,0,14.31,0.88,1.94,4.394
2017/1/14 10:00,Partly Cloudy,0,0,14.16,0.82,3.89,10.003
2017/1/14 11:00,Partly Cloudy,0,0,14.13,0.85,3,10.003
2017/1/14 12:00,Partly Cloudy,0,0,14.31,0.81,3.13,10.003
2017/1/14 13:00,Partly Cloudy,0.0174,0.08,16.68,0.86,2.98,10.003
2017/1/14 14:00,Partly Cloudy,0,0,16.45,0.85,2.82,10.124
2017/1/14 15:00,Partly Cloudy,0,0,16.7,0.85,2.38,10.124
2017/1/14 16:00,Partly Cloudy,0,0,16.73,0.86,2.3,10.003
2017/1/14 17:00,Partly Cloudy,0,0,16.48,0.86,2.6,10.003
2017/1/14 18:00,Partly Cloudy,0,0,14.79,0.81,1.38,10.003
2017/1/14 19:00,Partly Cloudy,0,0,14.83,0.81,1.37,10.003
2017/1/14 20:00,Partly Cloudy,0,0,15.11,0.86,1.45,4.438
2017/1/14 21:00,Partly Cloudy,0,0,15.1,0.86,1.8,4.438
2017/1/14 22:00,Partly Cloudy,0,0,14.87,0.79,2.31,10.003
2017/1/14 23:00,Partly Cloudy,0,0,14.88,0.81,2.8,10.003
2017/1/15 0:00,Partly Cloudy,0,0,16.18,0.75,2.76,10.003
2017/1/15 1:00,Partly Cloudy,0.0107,0.08,16.97,0.85,2.93,10.003
2017/1/15 2:00,Partly Cloudy,0.0107,0.08,16.68,0.84,3.6,9.922
2017/1/15 3:00,Partly Cloudy,0,0,16.66,0.85,3.43,9.881
2017/1/15 4:00,Partly Cloudy,0.0071,0.08,16.6,0.85,2.7,9.922
2017/1/15 5:00,Partly Cloudy,0.0142,0.08,16.09,0.85,2.96,9.841
2017/1/15 6:00,Partly Cloudy,0,0,14.13,0.79,2.05,6.994
2017/1/15 7:00,Light Rain,0.5479,0.97,13.94,0.88,2.48,4.084
2017/1/15 8:00,Rain,1.1099,0.97,13.83,0.89,2.47,4.433
2017/1/15 9:00,Partly Cloudy,0.1478,0.16,14.91,0.73,2.38,10.808
2017/1/15 10:00,Partly Cloudy,0.0505,0.16,15.2,0.74,2.05,10.003
2017/1/15 11:00,Partly Cloudy,0,0,13.87,0.83,2.9,10.003
2017/1/15 12:00,Partly Cloudy,0.039,0.08,14.31,0.81,2.32,10.003
2017/1/15 13:00,Partly Cloudy,0.039,0.08,14.22,0.8,0.66,10.003
2017/1/15 14:00,Partly Cloudy,0,0,14.79,0.8,1.89,12.346
2017/1/15 15:00,Partly Cloudy,0,0,15.28,0.76,1.5,12.346
